$$AD32$$|173|119193|486467|POINT (119193.0 486477.0)
$$AD33$$|174|119348|486523|POINT (119348.0 486533.0)
$$AD34$$|175|119524|486584|POINT (119524.0 486594.0)
$$AA31$$|176|120606|488949|POINT (120606.0 488959.0)
$$AD37$$|177|119843|486791|POINT (119843.0 486801.0)
$$AD38$$|178|119923|486833|POINT (119923.0 486843.0)
$$AD39$$|179|120029|486878|POINT (120029.0 486888.0)
$$AD40$$|180|120104|486905|POINT (120104.0 486915.0)
$$AC02$$|181|120149|488166|POINT (120149.0 488176.0)
$$AC04$$|182|120108|488104|POINT (120108.0 488114.0)
$$AC05$$|183|120198|488123|POINT (120198.0 488133.0)
$$AC07$$|184|120069|488045|POINT (120069.0 488055.0)
$$AD43$$|185|119090|486213|POINT (119090.0 486223.0)
$$BC19$$|186|118965|487076|POINT (118965.0 487086.0)
$$AQ23$$|187|124110|486197|POINT (124110.0 486207.0)
$$AQ24$$|188|124383|486209|POINT (124383.0 486219.0)
$$AQ25$$|189|124073|486135|POINT (124073.0 486145.0)
$$AQ26$$|190|124132|486097|POINT (124132.0 486107.0)
$$AQ27$$|191|124407|486141|POINT (124407.0 486151.0)
$$AQ29$$|192|124359|486087|POINT (124359.0 486097.0)
$$AQ31$$|193|124221|485969|POINT (124221.0 485979.0)
$$AQ45$$|194|124385|485709|POINT (124385.0 485719.0)
$$AQ46$$|195|124528|485743|POINT (124528.0 485753.0)
$$AR02$$|196|124731|486590|POINT (124731.0 486600.0)
$$AR09$$|197|124903|486442|POINT (124903.0 486452.0)
$$AR10$$|198|124572|486353|POINT (124572.0 486363.0)
$$AR11$$|199|124714|486386|POINT (124714.0 486396.0)
$$AR14$$|200|124842|486330|POINT (124842.0 486340.0)
$$AR15$$|201|124909|486366|POINT (124909.0 486376.0)
$$AR16$$|202|124963|486354|POINT (124963.0 486364.0)
$$AR19$$|203|124546|486177|POINT (124546.0 486187.0)
$$AR20$$|204|124665|486241|POINT (124665.0 486251.0)
$$AR21$$|205|124676|486148|POINT (124676.0 486158.0)
$$AR22$$|206|124814|486194|POINT (124814.0 486204.0)
$$AR24$$|207|124696|486060|POINT (124696.0 486070.0)
$$AR26$$|208|124796|485998|POINT (124796.0 486008.0)
$$AR27$$|209|124873|486095|POINT (124873.0 486105.0)
$$AR29$$|210|124869|485978|POINT (124869.0 485988.0)
$$AR33$$|211|124753|485769|POINT (124753.0 485779.0)
$$AR36$$|212|124597|486509|POINT (124597.0 486519.0)
$$AR37$$|213|124598|486464|POINT (124598.0 486474.0)
$$BC08$$|214|119141|487441|POINT (119141.0 487451.0)
$$BC09$$|215|119210|487381|POINT (119210.0 487391.0)
$$AR38$$|216|124768|486505|POINT (124768.0 486515.0)
$$AR41$$|217|124606|485957|POINT (124606.0 485967.0)
$$AQ02$$|218|124316|486588|POINT (124316.0 486598.0)
$$AQ03$$|219|124180|486532|POINT (124180.0 486542.0)
$$AO28$$|220|123382|485285|POINT (123382.0 485295.0)
$$AO29$$|221|123482|485329|POINT (123482.0 485339.0)
$$AO30$$|222|123531|485376|POINT (123531.0 485386.0)
$$AQ06$$|223|124335|486498|POINT (124335.0 486508.0)
$$AQ07$$|224|124381|486498|POINT (124381.0 486508.0)
$$AQ09$$|225|124429|486449|POINT (124429.0 486459.0)
$$AQ10$$|226|124476|486450|POINT (124476.0 486460.0)
$$AQ11$$|227|124360|486413|POINT (124360.0 486423.0)
$$AN04$$|228|122582|485753|POINT (122582.0 485763.0)
$$AN05$$|229|122790|485916|POINT (122790.0 485926.0)
$$AO31$$|230|123626|485420|POINT (123626.0 485430.0)
$$AQ15$$|231|124116|486392|POINT (124116.0 486402.0)
$$AQ16$$|232|124260|486393|POINT (124260.0 486403.0)
$$AQ17$$|233|124086|486327|POINT (124086.0 486337.0)
